,user,text,favorite_count,retweet_count,created_at
123,elonmusk,"@KanekoaTheGreat Wow, Stengel is explicitly saying that GEC is deceiving the American public! That’s what “propaganda” means.

What he forgot to mention is that GEC was used to sway US elections. @DOJPH",36565,8794,2023-02-07 20:40:01+00:00
124,elonmusk,@ggreenwald Based bias,41043,2059,2023-02-07 18:49:29+00:00
125,elonmusk,@venturetwins I am DAN!,3857,314,2023-02-07 17:49:02+00:00
126,elonmusk,@venturetwins !,8665,331,2023-02-07 17:47:17+00:00
127,elonmusk,"Going forward, Twitter will be broadly accepting of different values, rather than trying to impose its own specific values on the world",426319,40807,2023-02-07 17:41:38+00:00
128,elonmusk,@growing_daniel 🤣,4919,180,2023-02-07 17:29:30+00:00
129,elonmusk,"@MattMackowiak @Twitter @DavidSacks This is being fixed. Policy against showing blood in profile pic is being amended to “clearly showing blood without clicking on the profile pic”.

The intent is to avoid people being forced to see gruesome profile pics.",36291,1690,2023-02-07 17:14:59+00:00
130,elonmusk,"@braxton_mccoy @ShitpostGate If they really arrested a kid for that, it’s silly. Hopefully not.",60663,2269,2023-02-07 17:03:38+00:00
131,elonmusk,I feel this one https://t.co/MIzDvpIoWj,49877,3907,2023-02-07 05:25:48+00:00
132,elonmusk,https://t.co/tiPbKP8B77,248239,22503,2023-02-07 05:13:58+00:00
133,elonmusk,@XanderSchiassi @EvaFoxU Good point,1466,82,2023-02-07 05:06:55+00:00
134,elonmusk,@JackBox @jackinthebox My bro and I mostly ate at the Palo Alto Jack in the Box while building Zip2. It was affordable due to some food hygiene issues (subsequently corrected!) and open late at night.,1977,125,2023-02-07 05:05:03+00:00
135,elonmusk,@WallStreetSilv !,3417,195,2023-02-07 04:57:28+00:00
136,elonmusk,Actual base level of Maslow’s hierarchy is lack of wifi,114308,10233,2023-02-07 04:26:34+00:00
137,elonmusk,@TrevMcKendrick Guess people love home improvement,7547,321,2023-02-07 04:17:42+00:00
138,elonmusk,@dogeofficialceo 🤣,10998,348,2023-02-07 03:00:44+00:00
139,elonmusk,@KanekoaTheGreat @mtaibbi @ggreenwald @ShellenbergerMD Of course he’d like it – he created it!,9234,895,2023-02-07 02:38:57+00:00
140,elonmusk,"@GailAlfarATX @ClownWorld_ If that’s satan, we have nothing to worry about",21353,1119,2023-02-07 02:36:36+00:00
141,elonmusk,@considercosmos @SpaceX Made by humans,41019,1454,2023-02-07 02:35:01+00:00
142,elonmusk,@HowThingsWork_ The level of luck needed to win is insane,41326,2298,2023-02-07 02:19:09+00:00
143,elonmusk,@MKBHD Wow,68406,1423,2023-02-07 02:17:08+00:00
144,elonmusk,@ClownWorld_ End of days vibes,232514,13721,2023-02-07 01:47:44+00:00
145,elonmusk,rtfm https://t.co/7VIZPwxawd,27745,2604,2023-02-07 01:44:10+00:00
146,elonmusk,@DavidSacks @Mike_Rob_Craft Insane Clown Posse?,3045,139,2023-02-07 01:21:13+00:00
147,elonmusk,@Damadeferroofic Will investigate,28431,1247,2023-02-07 00:59:42+00:00
148,elonmusk,@theboimerch7 @BillyM2k 😬,2352,88,2023-02-07 00:57:37+00:00
149,elonmusk,"@Lukewearechange Almost everywhere you go, everyone is face to their phone",69961,4565,2023-02-07 00:56:16+00:00
150,elonmusk,"@BillyM2k Uh oh. 

Plot involves using fear of a pandemic to get the public to demand lockdowns &amp; then controlling who gets the vaccine. It is masterminded by the head of security of the UN.

One of the best games ever.",21022,3035,2023-02-07 00:53:51+00:00
151,elonmusk,@mtracey Concerning,27631,1962,2023-02-07 00:51:32+00:00
152,elonmusk,It’s not supposed to be real https://t.co/DpVxOSqJ4M,63295,6034,2023-02-07 00:44:37+00:00
153,elonmusk,@RepThomasMassie Yes,11418,619,2023-02-07 00:13:41+00:00
154,elonmusk,@KanekoaTheGreat And it would be illegal,8902,985,2023-02-07 00:11:19+00:00
155,elonmusk,"@disclosetv The UN is more likely to cause, rather than prevent, disinformation",128133,18804,2023-02-07 00:10:27+00:00
156,elonmusk,"@culturaltutor I haven’t seen a scroll in ages, but we use that word for computer screens 📜",24415,680,2023-02-07 00:05:22+00:00
157,elonmusk,@Saikmedi This is a major problem,14142,692,2023-02-07 00:01:18+00:00
158,elonmusk,@TrungTPhan 🔥🔥,4913,195,2023-02-06 23:59:48+00:00
159,elonmusk,@TheChiefNerd Oh the irony,55017,2292,2023-02-06 23:57:32+00:00
160,elonmusk,"@ray4tesla Hopefully, humanity will reach Mars in 20 years",64264,3349,2023-02-06 23:56:16+00:00
161,elonmusk,Read this thread for more detail https://t.co/2igo7PPwLy,23597,5976,2023-02-06 23:53:22+00:00
162,elonmusk,@tyromper Everybody dies some day,12354,949,2023-02-06 23:38:30+00:00
163,elonmusk,That is the line they fed the media about me,42345,3725,2023-02-06 23:36:00+00:00
164,elonmusk,They are a threat to our democracy,50143,5528,2023-02-06 23:34:51+00:00
165,elonmusk,"The worst offender in US government censorship &amp; media manipulation is an obscure agency called GEC
https://t.co/z6h5975anw",114505,28388,2023-02-06 23:32:16+00:00
166,elonmusk,@alifarhat79 Maybe that’s what’s meant the Beyond part,10918,499,2023-02-06 23:28:53+00:00
167,elonmusk,@Lukewearechange Most are oblivious to the danger,52302,3494,2023-02-06 21:49:51+00:00
168,elonmusk,@TrungTPhan 🔥🔥,5074,223,2023-02-06 21:28:53+00:00
169,elonmusk,@zebulgar 🔥🔥,17955,825,2023-02-06 21:22:43+00:00
170,elonmusk,"Hopefully, Starship this year https://t.co/bZalGf1JpB",35959,3008,2023-02-06 18:46:46+00:00
171,elonmusk,@TomFitton @WSJ @Twitter 🎯,6670,524,2023-02-06 18:45:04+00:00
172,elonmusk,@runews @CommunityNotes please correct the above numbers,2445,149,2023-02-06 16:24:57+00:00
173,elonmusk,😅 https://t.co/Z1Rxi68xOq,37346,3203,2023-02-06 16:06:43+00:00
174,elonmusk,@TheBabylonBee 🤣🤣,15094,460,2023-02-06 16:04:49+00:00
175,elonmusk,@Liv_Boeree Concerning,33919,1406,2023-02-06 15:55:29+00:00
176,elonmusk,@Cernovich Good,11610,370,2023-02-06 15:14:55+00:00
177,elonmusk,@runews A tragic loss of life,70560,3718,2023-02-06 05:04:45+00:00
178,elonmusk,@emin_adin @SpaceX Starlink is not approved by Turkish government yet. SpaceX can send as soon as approved.,170320,16422,2023-02-06 03:41:10+00:00
179,elonmusk,@I_Katchanovski ??,22758,1398,2023-02-06 01:42:07+00:00
180,elonmusk,@SPACEdotcom !,14404,701,2023-02-06 00:06:36+00:00
181,elonmusk,@TitterTakeover @Shopify @tobi @ptraughber @Twitter @ShopifyRebels Thanks @shopify!,6168,233,2023-02-05 23:23:52+00:00
182,elonmusk,@disclosetv @TwitterSupport We think we fixed this bug today. Please lmk if you’re still seeing it.,18533,930,2023-02-05 23:22:47+00:00
183,elonmusk,"@DriveTeslaca * attempt to launch in March. Success is far from certain, but excitement is guaranteed.",43477,2040,2023-02-05 23:14:53+00:00
